forecast_date,ticker,forecast_pct_change,forecast_trend
2025-06-10,PG,0.0,0
2025-06-11,PG,0.0,0
2025-06-12,PG,0.0,0
2025-06-13,PG,0.0,0
2025-06-16,PG,0.0,0
2025-06-17,PG,0.0,0
2025-06-18,PG,0.0,0
2025-06-19,PG,0.0,0
2025-06-20,PG,0.0,0
2025-06-23,PG,0.0,0
2025-06-24,PG,0.0,0
2025-06-25,PG,0.0,0
2025-06-26,PG,0.0,0
2025-06-27,PG,0.0,0
2025-06-30,PG,0.0,0
2025-07-01,PG,0.0,0
2025-07-02,PG,0.0,0
2025-07-03,PG,0.0,0
2025-07-04,PG,0.0,0
2025-07-07,PG,0.0,0
2025-07-08,PG,0.0,0
2025-07-09,PG,0.0,0
2025-07-10,PG,0.0,0
2025-07-11,PG,0.0,0
2025-07-14,PG,0.0,0
2025-07-15,PG,0.0,0
2025-07-16,PG,0.0,0
2025-07-17,PG,0.0,0
2025-07-18,PG,0.0,0
2025-07-21,PG,0.0,0
2025-07-22,PG,0.0,0
2025-07-23,PG,0.0,0
2025-07-24,PG,0.0,0
2025-07-25,PG,0.0,0
2025-07-28,PG,0.0,0
2025-07-29,PG,0.0,0
2025-07-30,PG,0.0,0
2025-07-31,PG,0.0,0
2025-08-01,PG,0.0,0
2025-08-04,PG,0.0,0
2025-08-05,PG,0.0,0
2025-08-06,PG,0.0,0
2025-08-07,PG,0.0,0
2025-08-08,PG,0.0,0
2025-08-11,PG,0.0,0
2025-08-12,PG,0.0,0
2025-08-13,PG,0.0,0
2025-08-14,PG,0.0,0
2025-08-15,PG,0.0,0
2025-08-18,PG,0.0,0
2025-08-19,PG,0.0,0
2025-08-20,PG,0.0,0
2025-08-21,PG,0.0,0
2025-08-22,PG,0.0,0
2025-08-25,PG,0.0,0
2025-08-26,PG,0.0,0
2025-08-27,PG,0.0,0
2025-08-28,PG,0.0,0
2025-08-29,PG,0.0,0
2025-09-01,PG,0.0,0
2025-09-02,PG,0.0,0
2025-09-03,PG,0.0,0
2025-09-04,PG,0.0,0
2025-09-05,PG,0.0,0
2025-09-08,PG,0.0,0
2025-09-09,PG,0.0,0
2025-09-10,PG,0.0,0
2025-09-11,PG,0.0,0
2025-09-12,PG,0.0,0
2025-09-15,PG,0.0,0
2025-09-16,PG,0.0,0
2025-09-17,PG,0.0,0
2025-09-18,PG,0.0,0
2025-09-19,PG,0.0,0
2025-09-22,PG,0.0,0
2025-09-23,PG,0.0,0
2025-09-24,PG,0.0,0
2025-09-25,PG,0.0,0
2025-09-26,PG,0.0,0
2025-09-29,PG,0.0,0
2025-09-30,PG,0.0,0
2025-10-01,PG,0.0,0
2025-10-02,PG,0.0,0
2025-10-03,PG,0.0,0
2025-10-06,PG,0.0,0
2025-10-07,PG,0.0,0
2025-10-08,PG,0.0,0
2025-10-09,PG,0.0,0
2025-10-10,PG,0.0,0
2025-10-13,PG,0.0,0
2025-10-14,PG,0.0,0
2025-10-15,PG,0.0,0
2025-10-16,PG,0.0,0
2025-10-17,PG,0.0,0
2025-10-20,PG,0.0,0
2025-10-21,PG,0.0,0
2025-10-22,PG,0.0,0
2025-10-23,PG,0.0,0
2025-10-24,PG,0.0,0
2025-10-27,PG,0.0,0
2025-10-28,PG,0.0,0
2025-10-29,PG,0.0,0
2025-10-30,PG,0.0,0
2025-10-31,PG,0.0,0
2025-11-03,PG,0.0,0
2025-11-04,PG,0.0,0
2025-11-05,PG,0.0,0
